BEA Code,Title,NAICS Code
1111A0,Oilseed farming,11111
1111A0,Oilseed farming,11112
1111B0,Grain farming,11113
1111B0,Grain farming,11114
1111B0,Grain farming,11115
1111B0,Grain farming,11116
1111B0,Grain farming,11119
111200,Vegetable and melon farming,1112
111300,Fruit and tree nut farming,1113
111400,"Greenhouse, nursery, and floriculture production",1114
111900,Other crop farming,1119
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",11211
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",11213
112120,Dairy cattle and milk production,11212
112A00,"Animal production, except cattle and poultry and eggs",1122
112A00,"Animal production, except cattle and poultry and eggs",1124
112A00,"Animal production, except cattle and poultry and eggs",1125
112A00,"Animal production, except cattle and poultry and eggs",1129
112300,Poultry and egg production,1123
113000,Forestry and logging,113
114000,"Fishing, hunting and trapping",114
115000,Support activities for agriculture and forestry,115
211000,Oil and gas extraction,211
212100,Coal mining,2121
2122A0,"Iron, gold, silver, and other metal ore mining",21221
2122A0,"Iron, gold, silver, and other metal ore mining",21222
2122A0,"Iron, gold, silver, and other metal ore mining",21229
212230,"Copper, nickel, lead, and zinc mining",21223
212310,Stone mining and quarrying,21231
2123A0,Other nonmetallic mineral mining and quarrying,21232
2123A0,Other nonmetallic mineral mining and quarrying,21239
213111,Drilling oil and gas wells,213111
21311A,Other support activities for mining,213112
21311A,Other support activities for mining,213113
21311A,Other support activities for mining,213114
21311A,Other support activities for mining,213115
221100,"Electric power generation, transmission, and distribution",2211
221200,Natural gas distribution,2212
221300,"Water, sewage and other systems",2213
230301,Nonresidential maintenance and repair,23
230302,Residential maintenance and repair,23
233210,Health care structures,23
233230,Manufacturing structures,23
233240,Power and communication structures,23
233262,Educational and vocational structures,23
233293,Highways and streets,23
2332A0,"Commercial structures, including farm structures",23
2332B0,Other nonresidential structures,23
233411,Single-family residential structures,23
233412,Multifamily residential structures,23
2334A0,Other residential structures,23
321100,Sawmills and wood preservation,3211
321200,"Veneer, plywood, and engineered wood product manufacturing",3212
321910,Millwork,32191
3219A0,All other wood product manufacturing,32199
3219A0,All other wood product manufacturing,32192
327100,Clay product and refractory manufacturing,3271
327200,Glass and glass product manufacturing,3272
327310,Cement manufacturing,32731
327320,Ready-mix concrete manufacturing,32732
327330,"Concrete pipe, brick, and block manufacturing",32733
327390,Other concrete product manufacturing,32739
327400,Lime and gypsum product manufacturing,3274
327910,Abrasive product manufacturing,32791
327991,Cut stone and stone product manufacturing,327991
327992,Ground or treated mineral and earth manufacturing,327992
327993,Mineral wool manufacturing,327993
327999,Miscellaneous nonmetallic mineral products,327999
331110,Iron and steel mills and ferroalloy manufacturing,3311
331200,Steel product manufacturing from purchased steel,3312
33131A,Alumina refining and primary aluminum production,331311
33131A,Alumina refining and primary aluminum production,331312
331314,Secondary smelting and alloying of aluminum,331314
33131B,Aluminum product manufacturing from purchased aluminum,331315
33131B,Aluminum product manufacturing from purchased aluminum,331316
33131B,Aluminum product manufacturing from purchased aluminum,331319
331411,Primary smelting and refining of copper,331411
331419,Primary smelting and refining of nonferrous metal (except copper and aluminum),331419
331420,"Copper rolling, drawing, extruding and alloying",33142
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",33149
331510,Ferrous metal foundries,33151
331520,Nonferrous metal foundries,33152
33211A,"All other forging, stamping, and sintering",332111
33211A,"All other forging, stamping, and sintering",332112
33211A,"All other forging, stamping, and sintering",332117
332114,Custom roll forming,332114
33211B,Crown and closure manufacturing and metal stamping,332115
33211B,Crown and closure manufacturing and metal stamping,332116
332200,Cutlery and handtool manufacturing,3322
332310,Plate work and fabricated structural product manufacturing,33231
332320,Ornamental and architectural metal products manufacturing,33232
332410,Power boiler and heat exchanger manufacturing,33241
332420,Metal tank (heavy gauge) manufacturing,33242
332430,"Metal can, box, and other metal container (light gauge) manufacturing",33243
332500,Hardware manufacturing,3325
332600,Spring and wire product manufacturing,3326
332710,Machine shops,33271
332720,"Turned product and screw, nut, and bolt manufacturing",33272
332800,"Coating, engraving, heat treating and allied activities",3328
33291A,Valve and fittings other than plumbing,332911
